order_id,order_date,ship_date,customer_id,product_id,quantity,sales,discount,profit,category,sub_category,unit_cost,list_price,customer_name,segment,region,order_month,profit_margin_pct,shipping_days
NM202401550231,2024-01-14,2024-01-19,CU0054,PR512,1,696.95,0.0,189.39,Furniture,Tables,507.56,696.95,Casey Ray,Corporate,South,2024-01,27.174115790228853,5
NM202401744331,2024-01-02,2024-01-09,CU0028,PR508,3,585.1,0.15,230.38,Technology,Machines,118.24,229.45,Alex Roy,Consumer,East,2024-01,39.3744659032644,7
NM202401906113,2024-01-31,2024-02-03,CU0010,PR501,3,3120.18,0.0,979.95,Technology,Phones,713.41,1040.06,Jordan Shah,Consumer,East,2024-01,31.406841912966566,3
NM202401329630,2024-01-04,2024-01-05,CU0181,PR519,1,11.26,0.0,4.07,Office Supplies,Paper,7.19,11.26,Casey Dean,Home Office,East,2024-01,36.145648312611016,1
NM202401977321,2024-01-21,2024-01-24,CU0057,PR514,2,529.94,0.0,209.88,Furniture,Bookcases,160.03,264.97,Casey Lee,Corporate,Central,2024-01,39.60448352643695,3
NM202401659323,2024-01-27,2024-01-31,CU0057,PR518,5,287.51,0.15,117.51,Office Supplies,Paper,34.0,67.65,Casey Lee,Corporate,Central,2024-01,40.87162185663107,4
NM202401144680,2024-01-12,2024-01-16,CU0126,PR504,3,2183.76,0.0,903.99,Technology,Accessories,426.59,727.92,Quinn Cruz,Consumer,South,2024-01,41.39603253104737,4
NM202401196507,2024-01-10,2024-01-12,CU0211,PR519,1,9.57,0.15,2.38,Office Supplies,Paper,7.19,11.26,Jamie Cruz,Consumer,Central,2024-01,24.869383490073144,2
NM202401331966,2024-01-26,2024-01-28,CU0187,PR524,8,608.47,0.1,80.95,Office Supplies,Art,65.94,84.51,Taylor Bell,Home Office,East,2024-01,13.303860502572023,2
NM202401283763,2024-01-30,2024-02-01,CU0195,PR520,5,39.6,0.2,13.55,Office Supplies,Paper,5.21,9.9,Riley Bell,Corporate,South,2024-01,34.217171717171716,2
NM202401241318,2024-01-06,2024-01-07,CU0124,PR510,7,1019.09,0.4,-148.58,Furniture,Chairs,166.81,242.64,Alex Bell,Consumer,East,2024-01,-14.579674022902786,1
NM202401724142,2024-01-06,2024-01-08,CU0045,PR508,3,585.1,0.15,230.38,Technology,Machines,118.24,229.45,Quinn Lee,Corporate,South,2024-01,39.3744659032644,2
NM202401477758,2024-01-30,2024-02-02,CU0083,PR513,2,457.27,0.1,65.21,Furniture,Tables,196.03,254.04,Taylor Wood,Consumer,Central,2024-01,14.260721236905985,3
NM202401595070,2024-01-02,2024-01-07,CU0238,PR503,1,131.66,0.15,33.57,Technology,Phones,98.09,154.89,Casey Cruz,Consumer,Central,2024-01,25.497493543976912,5
NM202401215949,2024-01-07,2024-01-13,CU0151,PR512,6,2927.19,0.3,-118.17,Furniture,Tables,507.56,696.95,Jamie Dean,Home Office,Central,2024-01,-4.036977442530208,6
NM202401590690,2024-01-13,2024-01-13,CU0010,PR515,4,2289.24,0.0,1022.12,Furniture,Bookcases,316.78,572.31,Jordan Shah,Consumer,East,2024-01,44.64887910398211,0
NM202401372731,2024-01-02,2024-01-06,CU0039,PR502,2,570.96,0.1,246.08,Technology,Phones,162.44,317.2,Quinn Roy,Consumer,East,2024-01,43.0993414599972,4
NM202401762091,2024-01-06,2024-01-13,CU0211,PR520,2,19.8,0.0,9.38,Office Supplies,Paper,5.21,9.9,Jamie Cruz,Consumer,Central,2024-01,47.37373737373737,7
NM202401410084,2024-01-11,2024-01-16,CU0040,PR507,3,128.07,0.0,68.52,Technology,Machines,19.85,42.69,Casey Hunt,Consumer,West,2024-01,53.50199109861794,5
NM202401103575,2024-01-21,2024-01-26,CU0025,PR522,6,212.62,0.15,80.5,Office Supplies,Storage,22.02,41.69,Jordan Fox,Consumer,West,2024-01,37.860972627222274,5
NM202401750095,2024-01-14,2024-01-19,CU0071,PR515,1,515.08,0.1,198.3,Furniture,Bookcases,316.78,572.31,Riley Wood,Consumer,East,2024-01,38.498873961326396,5
NM202401879460,2024-01-09,2024-01-09,CU0183,PR505,5,776.96,0.2,214.36,Technology,Accessories,112.52,194.24,Riley Lee,Corporate,Central,2024-01,27.58957990115321,0
NM202401371439,2024-01-23,2024-01-27,CU0109,PR515,5,2861.55,0.0,1277.65,Furniture,Bookcases,316.78,572.31,Casey Cruz,Consumer,Central,2024-01,44.64887910398211,4
NM202401169552,2024-01-26,2024-01-29,CU0145,PR524,1,67.61,0.2,1.67,Office Supplies,Art,65.94,84.51,Jamie Hunt,Corporate,South,2024-01,2.4700488093477295,3
NM202401937680,2024-01-02,2024-01-03,CU0126,PR510,5,1213.2,0.0,379.15,Furniture,Chairs,166.81,242.64,Quinn Cruz,Consumer,South,2024-01,31.252060666007253,1
NM202401971477,2024-01-29,2024-01-30,CU0145,PR506,2,915.32,0.3,258.76,Technology,Accessories,328.28,653.8,Jamie Hunt,Corporate,South,2024-01,28.26989468164139,1
NM202401401404,2024-01-12,2024-01-15,CU0207,PR506,6,3530.52,0.1,1560.84,Technology,Accessories,328.28,653.8,Jordan Ray,Corporate,Central,2024-01,44.209918085721085,3
NM202401886671,2024-01-30,2024-02-01,CU0059,PR505,6,466.18,0.6,-208.94,Technology,Accessories,112.52,194.24,Sam Wood,Consumer,South,2024-01,-44.81959758033378,2
NM202401622598,2024-01-23,2024-01-23,CU0041,PR516,7,53.98,0.0,19.82,Office Supplies,Binders,4.88,9.64,Sam Dean,Corporate,South,2024-01,36.71730270470545,0
NM202401331646,2024-01-01,2024-01-08,CU0222,PR521,8,398.4,0.0,94.56,Office Supplies,Storage,37.98,49.8,Drew Wood,Consumer,West,2024-01,23.73493975903615,7
NM202401409843,2024-01-03,2024-01-07,CU0212,PR507,5,213.45,0.0,114.2,Technology,Machines,19.85,42.69,Jordan Dean,Corporate,East,2024-01,53.50199109861795,4
NM202401794106,2024-01-30,2024-02-03,CU0196,PR518,6,365.31,0.1,161.31,Office Supplies,Paper,34.0,67.65,Jamie Lee,Consumer,East,2024-01,44.15701732774904,4
NM202401289834,2024-01-06,2024-01-12,CU0181,PR506,4,2092.16,0.2,779.04,Technology,Accessories,328.28,653.8,Casey Dean,Home Office,East,2024-01,37.23615784643622,6
NM202401846010,2024-01-27,2024-02-01,CU0100,PR515,4,2289.24,0.0,1022.12,Furniture,Bookcases,316.78,572.31,Alex Hunt,Corporate,Central,2024-01,44.64887910398211,5
NM202401682290,2024-01-14,2024-01-20,CU0195,PR522,7,291.83,0.0,137.69,Office Supplies,Storage,22.02,41.69,Riley Bell,Corporate,South,2024-01,47.18157831614296,6
NM202401829426,2024-01-11,2024-01-15,CU0072,PR501,3,2652.15,0.15,511.92,Technology,Phones,713.41,1040.06,Jordan Fox,Consumer,South,2024-01,19.3020756744528,4
NM202401254521,2024-01-16,2024-01-17,CU0056,PR512,3,1672.68,0.2,150.0,Furniture,Tables,507.56,696.95,Jordan Wood,Corporate,East,2024-01,8.967644737786069,1
NM202401401242,2024-01-19,2024-01-23,CU0239,PR522,8,333.52,0.0,157.36,Office Supplies,Storage,22.02,41.69,Morgan Roy,Corporate,South,2024-01,47.18157831614297,4
NM202401793006,2024-01-21,2024-01-23,CU0055,PR505,3,524.45,0.1,186.89,Technology,Accessories,112.52,194.24,Drew Cruz,Corporate,West,2024-01,35.635427590809414,2
NM202401518115,2024-01-12,2024-01-19,CU0067,PR502,2,634.4,0.0,309.52,Technology,Phones,162.44,317.2,Jamie Hunt,Corporate,East,2024-01,48.78940731399748,7
NM202401223441,2024-01-03,2024-01-08,CU0051,PR506,3,1765.26,0.1,780.42,Technology,Accessories,328.28,653.8,Drew Ray,Consumer,South,2024-01,44.209918085721085,5
NM202401773930,2024-01-08,2024-01-15,CU0084,PR513,7,1600.45,0.1,228.24,Furniture,Tables,196.03,254.04,Morgan Hunt,Corporate,South,2024-01,14.26098909681652,7
NM202401320561,2024-01-18,2024-01-20,CU0208,PR524,8,574.67,0.15,47.15,Office Supplies,Art,65.94,84.51,Morgan Ray,Corporate,West,2024-01,8.204708789392173,2
NM202401883795,2024-01-15,2024-01-19,CU0215,PR513,5,889.14,0.3,-91.01,Furniture,Tables,196.03,254.04,Drew Hunt,Corporate,East,2024-01,-10.235733405312999,4
NM202401608023,2024-01-14,2024-01-21,CU0101,PR502,7,2220.4,0.0,1083.32,Technology,Phones,162.44,317.2,Taylor Wood,Corporate,South,2024-01,48.78940731399747,7
NM202401625978,2024-01-25,2024-01-29,CU0113,PR503,3,394.97,0.15,100.7,Technology,Phones,98.09,154.89,Taylor Hunt,Corporate,South,2024-01,25.495607261310983,4
NM202401259220,2024-01-12,2024-01-14,CU0035,PR518,1,40.59,0.4,6.59,Office Supplies,Paper,34.0,67.65,Riley Cruz,Corporate,Central,2024-01,16.23552599162355,2
NM202401166881,2024-01-21,2024-01-28,CU0185,PR501,1,936.05,0.1,222.64,Technology,Phones,713.41,1040.06,Sam Shah,Consumer,East,2024-01,23.785054217189252,7
NM202401562537,2024-01-11,2024-01-17,CU0159,PR519,1,10.13,0.1,2.94,Office Supplies,Paper,7.19,11.26,Morgan Fox,Home Office,Central,2024-01,29.02270483711747,6
NM202401644142,2024-01-25,2024-01-26,CU0202,PR513,1,228.64,0.1,32.61,Furniture,Tables,196.03,254.04,Alex Wood,Corporate,Central,2024-01,14.262596221133661,1
NM202401946992,2024-01-22,2024-01-22,CU0197,PR508,4,367.12,0.6,-105.84,Technology,Machines,118.24,229.45,Casey Fox,Corporate,West,2024-01,-28.82981041621268,0
NM202401177263,2024-01-22,2024-01-29,CU0214,PR519,2,18.02,0.2,3.64,Office Supplies,Paper,7.19,11.26,Quinn Dean,Home Office,Central,2024-01,20.199778024417313,7
NM202401683790,2024-01-12,2024-01-18,CU0206,PR522,5,187.6,0.1,77.5,Office Supplies,Storage,22.02,41.69,Morgan Shah,Consumer,East,2024-01,41.311300639658846,6
NM202401886209,2024-01-20,2024-01-21,CU0090,PR520,3,11.88,0.0,-3.75,Office Supplies,Paper,5.21,9.9,Riley Bell,Consumer,South,2024-01,-31.565656565656564,1
NM202401464297,2024-01-24,2024-01-24,CU0002,PR524,5,253.53,0.4,-76.17,Office Supplies,Art,65.94,84.51,Alex Lee,Consumer,West,2024-01,-30.043781800970297,0
NM202401672506,2024-01-18,2024-01-20,CU0143,PR520,5,29.7,0.4,3.65,Office Supplies,Paper,5.21,9.9,Riley Ray,Corporate,South,2024-01,12.289562289562289,2
NM202401185288,2024-01-18,2024-01-24,CU0028,PR502,6,1903.2,0.0,928.56,Technology,Phones,162.44,317.2,Alex Roy,Consumer,East,2024-01,48.78940731399747,6
NM202401528070,2024-01-26,2024-01-31,CU0155,PR521,4,79.68,0.6,-72.24,Office Supplies,Storage,37.98,49.8,Sam Wood,Consumer,South,2024-01,-90.66265060240963,5
NM202401219830,2024-01-09,2024-01-11,CU0118,PR512,6,4181.7,0.0,1136.34,Furniture,Tables,507.56,696.95,Alex Lee,Consumer,South,2024-01,27.174115790228853,2
NM202401551970,2024-01-01,2024-01-01,CU0237,PR502,1,269.62,0.15,107.18,Technology,Phones,162.44,317.2,Jordan Ray,Consumer,West,2024-01,39.752243898820566,0
NM202401744323,2024-01-11,2024-01-11,CU0126,PR504,1,618.73,0.15,192.14,Technology,Accessories,426.59,727.92,Quinn Cruz,Consumer,South,2024-01,31.05393305642202,0
NM202401810526,2024-01-01,2024-01-01,CU0080,PR513,6,1371.82,0.1,195.64,Furniture,Tables,196.03,254.04,Drew Bell,Corporate,South,2024-01,14.26134624076045,0
NM202401978860,2024-01-11,2024-01-16,CU0118,PR502,4,1268.8,0.0,619.04,Technology,Phones,162.44,317.2,Alex Lee,Consumer,South,2024-01,48.78940731399748,5
NM202401881254,2024-01-22,2024-01-23,CU0014,PR509,4,2119.9,0.2,775.06,Technology,Machines,336.21,662.47,Alex Lee,Corporate,South,2024-01,36.5611585452144,1
NM202401212151,2024-01-14,2024-01-20,CU0138,PR513,8,2032.32,0.0,464.08,Furniture,Tables,196.03,254.04,Casey Dean,Home Office,South,2024-01,22.8349866162809,6
NM202401211208,2024-01-18,2024-01-21,CU0027,PR524,8,676.08,0.0,148.56,Office Supplies,Art,65.94,84.51,Jamie Shah,Consumer,East,2024-01,21.973730919417818,3
NM202401636965,2024-01-31,2024-02-05,CU0196,PR524,6,507.06,0.0,111.42,Office Supplies,Art,65.94,84.51,Jamie Lee,Consumer,East,2024-01,21.973730919417818,5
NM202401320736,2024-01-08,2024-01-14,CU0127,PR521,2,99.6,0.0,23.64,Office Supplies,Storage,37.98,49.8,Morgan Roy,Corporate,South,2024-01,23.73493975903615,6
NM202401225669,2024-01-23,2024-01-26,CU0194,PR521,5,174.3,0.3,-15.6,Office Supplies,Storage,37.98,49.8,Casey Bell,Consumer,West,2024-01,-8.950086058519794,3
NM202401114025,2024-01-31,2024-02-07,CU0157,PR513,1,101.62,0.6,-94.41,Furniture,Tables,196.03,254.04,Sam Ray,Corporate,South,2024-01,-92.90493997244637,7
NM202401898343,2024-01-01,2024-01-06,CU0002,PR506,8,4445.84,0.15,1819.6,Technology,Accessories,328.28,653.8,Alex Lee,Consumer,West,2024-01,40.92814856135173,5
NM202401459301,2024-01-20,2024-01-26,CU0124,PR513,2,508.08,0.0,116.02,Furniture,Tables,196.03,254.04,Alex Bell,Consumer,East,2024-01,22.8349866162809,6
NM202401876281,2024-01-10,2024-01-11,CU0101,PR524,3,152.12,0.4,-45.7,Office Supplies,Art,65.94,84.51,Taylor Wood,Corporate,South,2024-01,-30.042072048382856,1
NM202401666650,2024-01-04,2024-01-08,CU0134,PR515,5,2861.55,0.0,1277.65,Furniture,Bookcases,316.78,572.31,Morgan Fox,Home Office,Central,2024-01,44.64887910398211,4
NM202401655820,2024-01-11,2024-01-18,CU0232,PR510,1,242.64,0.0,75.83,Furniture,Chairs,166.81,242.64,Casey Ray,Consumer,Central,2024-01,31.252060666007253,7
NM202401657367,2024-01-13,2024-01-14,CU0020,PR512,3,836.34,0.6,-686.34,Furniture,Tables,507.56,696.95,Drew Ray,Corporate,Central,2024-01,-82.06471052442787,1
NM202401886167,2024-01-13,2024-01-14,CU0093,PR515,4,2289.24,0.0,1022.12,Furniture,Bookcases,316.78,572.31,Taylor Bell,Consumer,East,2024-01,44.64887910398211,1
NM202401246686,2024-01-01,2024-01-08,CU0034,PR502,5,634.4,0.6,-177.8,Technology,Phones,162.44,317.2,Quinn Bell,Corporate,East,2024-01,-28.02648171500631,7
NM202401927812,2024-01-15,2024-01-18,CU0143,PR512,2,975.73,0.3,-39.39,Furniture,Tables,507.56,696.95,Riley Ray,Corporate,South,2024-01,-4.036977442530208,3
NM202401508497,2024-01-23,2024-01-24,CU0113,PR505,5,388.48,0.6,-174.12,Technology,Accessories,112.52,194.24,Taylor Hunt,Corporate,South,2024-01,-44.82084019769357,1
NM202401695852,2024-01-20,2024-01-25,CU0052,PR506,5,2778.65,0.15,1137.25,Technology,Accessories,328.28,653.8,Sam Hunt,Home Office,East,2024-01,40.92814856135173,5
NM202401339315,2024-01-06,2024-01-12,CU0113,PR515,4,1831.39,0.2,564.27,Furniture,Bookcases,316.78,572.31,Taylor Hunt,Corporate,South,2024-01,30.81102332108398,6
NM202401257247,2024-01-16,2024-01-17,CU0026,PR511,2,237.62,0.0,112.28,Furniture,Chairs,62.67,118.81,Casey Roy,Consumer,South,2024-01,47.251914821984684,1
NM202401641485,2024-01-13,2024-01-19,CU0084,PR512,5,2962.04,0.15,424.24,Furniture,Tables,507.56,696.95,Morgan Hunt,Corporate,South,2024-01,14.322561477900367,6
NM202401573061,2024-01-11,2024-01-13,CU0087,PR507,4,145.15,0.15,65.75,Technology,Machines,19.85,42.69,Sam Roy,Corporate,South,2024-01,45.297967619703755,2
NM202401146693,2024-01-20,2024-01-23,CU0039,PR507,7,298.83,0.0,159.88,Technology,Machines,19.85,42.69,Quinn Roy,Consumer,East,2024-01,53.50199109861794,3
NM202401846263,2024-01-23,2024-01-24,CU0078,PR501,3,2496.14,0.2,355.91,Technology,Phones,713.41,1040.06,Taylor Ray,Consumer,South,2024-01,14.258414992748806,1
NM202401635476,2024-01-22,2024-01-26,CU0068,PR503,6,650.54,0.3,62.0,Technology,Phones,98.09,154.89,Jamie Ray,Consumer,West,2024-01,9.530543855873583,4
NM202401256262,2024-01-29,2024-01-30,CU0049,PR514,8,1801.8,0.15,521.56,Furniture,Bookcases,160.03,264.97,Sam Bell,Corporate,Central,2024-01,28.946608946608944,1
NM202401201901,2024-01-02,2024-01-06,CU0169,PR504,3,2183.76,0.0,903.99,Technology,Accessories,426.59,727.92,Morgan Ray,Home Office,South,2024-01,41.39603253104737,4
NM202401186211,2024-01-07,2024-01-07,CU0149,PR512,4,2787.8,0.0,757.56,Furniture,Tables,507.56,696.95,Morgan Cruz,Corporate,West,2024-01,27.174115790228853,0
NM202401256017,2024-01-09,2024-01-16,CU0145,PR514,8,1907.78,0.1,627.54,Furniture,Bookcases,160.03,264.97,Jamie Hunt,Corporate,South,2024-01,32.89372988499722,7
NM202401491783,2024-01-28,2024-02-03,CU0080,PR524,6,405.65,0.2,10.01,Office Supplies,Art,65.94,84.51,Drew Bell,Corporate,South,2024-01,2.467644521138913,6
NM202401960084,2024-01-26,2024-01-27,CU0228,PR503,6,789.94,0.15,201.4,Technology,Phones,98.09,154.89,Taylor Ray,Corporate,West,2024-01,25.495607261310983,1
NM202401566371,2024-01-11,2024-01-16,CU0204,PR511,7,706.92,0.15,268.23,Furniture,Chairs,62.67,118.81,Morgan Bell,Home Office,Central,2024-01,37.94347309455102,5
NM202401227646,2024-01-14,2024-01-18,CU0175,PR515,4,1831.39,0.2,564.27,Furniture,Bookcases,316.78,572.31,Riley Fox,Consumer,Central,2024-01,30.81102332108398,4
NM202401869577,2024-01-22,2024-01-29,CU0229,PR517,5,309.54,0.3,70.24,Office Supplies,Binders,47.86,88.44,Drew Bell,Corporate,Central,2024-01,22.691736124571943,7
NM202401583669,2024-01-14,2024-01-19,CU0104,PR516,8,65.55,0.15,26.51,Office Supplies,Binders,4.88,9.64,Riley Wood,Home Office,East,2024-01,40.44241037376049,5
NM202401181765,2024-01-12,2024-01-17,CU0087,PR507,1,29.88,0.3,10.03,Technology,Machines,19.85,42.69,Sam Roy,Corporate,South,2024-01,33.56760374832664,5
NM202401926119,2024-01-23,2024-01-25,CU0040,PR507,6,179.3,0.3,60.2,Technology,Machines,19.85,42.69,Casey Hunt,Consumer,West,2024-01,33.575013943112104,2
NM202401677112,2024-01-11,2024-01-11,CU0154,PR504,5,3639.6,0.0,1506.65,Technology,Accessories,426.59,727.92,Sam Lee,Consumer,South,2024-01,41.396032531047375,0
NM202401612886,2024-01-03,2024-01-09,CU0008,PR520,2,19.8,0.0,9.38,Office Supplies,Paper,5.21,9.9,Riley Dean,Consumer,South,2024-01,47.37373737373737,6
